country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,418k active personnel,71 ships,Advanced,19 factories,Elite,last online 8 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$31352 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45372 km 2,http://blocgame.com/stats.php?id=51354,,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,295k active personnel,51 ships,Advanced,27 factories,Elite,online now,rankings.php?subregion=mes,Brotherhood of Zion,$28750 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,3 Tons,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,484k active personnel,51 ships,Persian Gulf War surplus,19 factories,Poor,last online 4 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27051 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,439k active personnel,76 ships,Advanced,19 factories,Elite,online now,rankings.php?subregion=mes,Wreckage brothers,$27048 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,,1477 Mbbl,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,66k active personnel,49 ships,Persian Gulf War surplus,12 factories,Elite,last online 3 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$26870 million,alliancestats.php?allianceid=1568,Congo,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,27075 km 2,http://blocgame.com/stats.php?id=40233,,,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,214k active personnel,50 ships,Advanced,18 factories,Good,last online 10 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$26291 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,131k active personnel,35 ships,Almost Modern,16 factories,Good,last online 4 hours ago,rankings.php?subregion=mex,BAMF,$25833 million,alliancestats.php?allianceid=1393,Mesoamerica,,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,297k active personnel,51 ships,Advanced,17 factories,Good,last online 4 hours ago,rankings.php?subregion=per,SPQR,$25554 million,alliancestats.php?allianceid=1835,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,302k active personnel,53 ships,Advanced,23 factories,Good,online now,rankings.php?subregion=pac,BAMF,$25452 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,,5%
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,158k active personnel,51 ships,Advanced,15 factories,Elite,last online 7 hours ago,rankings.php?subregion=saf,BAMF,$25262 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,,,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,229k active personnel,71 ships,Persian Gulf War surplus,14 factories,Good,last online 1 hours ago,rankings.php?subregion=car,The Federal Colonies,$24446 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,,,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,186k active personnel,67 ships,Persian Gulf War surplus,15 factories,Elite,last online 5 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$24299 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,,
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,401k active personnel,57 ships,Advanced,16 factories,Good,last online 8 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$24196 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,,
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,168k active personnel,11 ships,Advanced,15 factories,Elite,last online 21 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$24198 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1835,240k active personnel,49 ships,Persian Gulf War surplus,15 factories,Elite,last online 43 hours ago,rankings.php?subregion=egy,SPQR,$23680 million,alliancestats.php?allianceid=1835,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,44421 km 2,http://blocgame.com/stats.php?id=49204,,1863 Mbbl,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,299k active personnel,79 ships,Almost Modern,14 factories,Elite,last online 10 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$23022 million,alliancestats.php?allianceid=1568,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,,,10%
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,698k active personnel,76 ships,Advanced,40 factories,Standard,last online 1 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$23059 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,135519 km 2,http://blocgame.com/stats.php?id=47945,4 Tons,,
HCLI,Kasper Hekmatyar,http://blocgame.com/alliancestats.php?allianceid=1393,201k active personnel,34 ships,Advanced,12 factories,Elite,last online 33 hours ago,rankings.php?subregion=chi,BAMF,$22716 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,27241 km 2,http://blocgame.com/stats.php?id=46030,,,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,43 ships,Advanced,18 factories,Poor,last online 64 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$22415 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,3 Tons,,
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1835,906k active personnel,62 ships,Advanced,22 factories,Elite,last online 24 hours ago,rankings.php?subregion=egy,SPQR,$21977 million,alliancestats.php?allianceid=1835,Egypt,,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,76898 km 2,http://blocgame.com/stats.php?id=49868,,,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,440k active personnel,52 ships,Advanced,19 factories,Elite,online now,rankings.php?subregion=ama,BAMF,$21616 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527,,,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,26 ships,Persian Gulf War surplus,12 factories,Elite,last online 1 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$21635 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,,
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,448k active personnel,13 ships,Persian Gulf War surplus,21 factories,Good,last online 1 hours ago,rankings.php?subregion=chi,BAMF,$21168 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,,,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,399k active personnel,51 ships,Advanced,17 factories,Good,last online 2 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$20865 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,,,
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,253k active personnel,51 ships,Almost Modern,10 factories,Elite,last online 5 hours ago,rankings.php?subregion=ama,The High Council,$20790 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,1 Tons,,
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,229k active personnel,34 ships,Advanced,11 factories,Elite,last online 1 hours ago,rankings.php?subregion=mex,The Federal Colonies,$20690 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,,,45%
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,209k active personnel,52 ships,Advanced,14 factories,Standard,online now,rankings.php?subregion=ind,The Federal Colonies,$20633 million,alliancestats.php?allianceid=1401,East Indies,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,,,
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,117k active personnel,45 ships,Almost Modern,8 factories,Elite,last online 5 hours ago,rankings.php?subregion=car,The Federal Colonies,$20376 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23712 km 2,http://blocgame.com/stats.php?id=45853,,,
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,100k active personnel,22 ships,Advanced,8 factories,Elite,last online 9 hours ago,rankings.php?subregion=pac,The Federal Colonies,$19436 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,,156 Mbbl,5%
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,14 ships,Almost Modern,17 factories,Standard,last online 11 hours ago,rankings.php?subregion=chi,BAMF,$18967 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,,,
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,238k active personnel,51 ships,Advanced,13 factories,Good,last online 4 hours ago,rankings.php?subregion=pac,BAMF,$18396 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,,,
Lyranistan,Lyranistan,http://blocgame.com/alliancestats.php?allianceid=1580,265k active personnel,12 ships,Persian Gulf War surplus,14 factories,Standard,online now,rankings.php?subregion=mes,Brotherhood of Nod,$18386 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,65193 km 2,http://blocgame.com/stats.php?id=56860,,,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,466k active personnel,18 ships,Persian Gulf War surplus,22 factories,Standard,online now,rankings.php?subregion=atl,Brotherhood of Zion,$18094 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,1 Tons,,
MoonMania,MoonMan,http://blocgame.com/alliancestats.php?allianceid=1393,175k active personnel,29 ships,Persian Gulf War surplus,9 factories,Elite,last online 4 hours ago,rankings.php?subregion=ama,BAMF,$17735 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,36253 km 2,http://blocgame.com/stats.php?id=53650,,,
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,74k active personnel,0 ships,Advanced,13 factories,Standard,last online 2 hours ago,rankings.php?subregion=car,The Federal Colonies,$17783 million,alliancestats.php?allianceid=1401,Caribbean,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45979 km 2,http://blocgame.com/stats.php?id=44573,,,
Hashashin,moffe,http://blocgame.com/alliancestats.php?allianceid=1644,306k active personnel,49 ships,Advanced,15 factories,Poor,last online 3 hours ago,rankings.php?subregion=per,Inter/pol/,$17609 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,87765 km 2,http://blocgame.com/stats.php?id=54220,,,
Canuckistan!!,Cosmic Canuck,http://blocgame.com/alliancestats.php?allianceid=1580,239k active personnel,28 ships,Persian Gulf War surplus,18 factories,Good,online now,rankings.php?subregion=per,Brotherhood of Nod,$17490 million,alliancestats.php?allianceid=1580,Persia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=per,103286 km 2,http://blocgame.com/stats.php?id=49526,1 Tons,,
Fapman,Fapman,http://blocgame.com/alliancestats.php?allianceid=1393,269k active personnel,53 ships,Advanced,14 factories,Good,last online 37 hours ago,rankings.php?subregion=ara,BAMF,$17418 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,93456 km 2,http://blocgame.com/stats.php?id=53748,,6772 Mbbl,
deepfriedbutter,kittenSmasher,http://blocgame.com/alliancestats.php?allianceid=1393,233k active personnel,57 ships,Advanced,19 factories,Elite,last online 4 hours ago,rankings.php?subregion=waf,BAMF,$17358 million,alliancestats.php?allianceid=1393,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,106871 km 2,http://blocgame.com/stats.php?id=44479,,,
Argenwhite,Grecius,http://blocgame.com/alliancestats.php?allianceid=1580,219k active personnel,51 ships,Persian Gulf War surplus,9 factories,Elite,last online 22 hours ago,rankings.php?subregion=con,Brotherhood of Nod,$17235 million,alliancestats.php?allianceid=1580,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,53322 km 2,http://blocgame.com/stats.php?id=40579,,,
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,25 ships,Persian Gulf War surplus,11 factories,Good,last online 4 hours ago,rankings.php?subregion=mes,BAMF,$17169 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,24659 km 2,http://blocgame.com/stats.php?id=49652,,,
Skhimm,Ept2415,http://blocgame.com/alliancestats.php?allianceid=1580,493k active personnel,65 ships,Advanced,15 factories,Elite,online now,rankings.php?subregion=per,Brotherhood of Nod,$17024 million,alliancestats.php?allianceid=1580,Persia,,Very Powerful,http://blocgame.com/rankings.php?subregion=per,122025 km 2,http://blocgame.com/stats.php?id=52362,20 Tons,,
Robots,stormbot28,http://blocgame.com/alliancestats.php?allianceid=1599,72k active personnel,26 ships,Almost Modern,11 factories,Elite,last online 1 hours ago,rankings.php?subregion=car,Wreckage brothers,$17087 million,alliancestats.php?allianceid=1599,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,55045 km 2,http://blocgame.com/stats.php?id=40242,,,
Iwasaki,Saeka Nogushi,http://blocgame.com/alliancestats.php?allianceid=1393,198k active personnel,51 ships,Persian Gulf War surplus,11 factories,Elite,last online 1 hours ago,rankings.php?subregion=pac,BAMF,$16748 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,49696 km 2,http://blocgame.com/stats.php?id=52235,,,
Tyrantia,Malakal,http://blocgame.com/alliancestats.php?allianceid=1595,330k active personnel,51 ships,Persian Gulf War surplus,15 factories,Standard,online now,rankings.php?subregion=ind,The High Council,$16568 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,63676 km 2,http://blocgame.com/stats.php?id=40238,4 Tons,,
Kalayaan,Fernindad E. Marcos,http://blocgame.com/alliancestats.php?allianceid=1393,239k active personnel,59 ships,Persian Gulf War surplus,10 factories,Elite,last online 4 hours ago,rankings.php?subregion=pac,BAMF,$16296 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,79555 km 2,http://blocgame.com/stats.php?id=52349,,159 Mbbl,
Potatoland,ThePotatoGuy,http://blocgame.com/alliancestats.php?allianceid=1382,199k active personnel,37 ships,Almost Modern,10 factories,Elite,last online 4 hours ago,rankings.php?subregion=car,Non-Aligned Movement,$16102 million,alliancestats.php?allianceid=1382,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45507 km 2,http://blocgame.com/stats.php?id=53696,,,
Celtic Nations,BigWilly526,http://blocgame.com/alliancestats.php?allianceid=1580,325k active personnel,50 ships,Persian Gulf War surplus,14 factories,Good,last online 12 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$16049 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,63487 km 2,http://blocgame.com/stats.php?id=7511,,,
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=1401,209k active personnel,51 ships,Persian Gulf War surplus,11 factories,Elite,last online 4 hours ago,rankings.php?subregion=per,The Federal Colonies,$16035 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,35604 km 2,http://blocgame.com/stats.php?id=48914,,,
Skeenation,David Tomanka,http://blocgame.com/alliancestats.php?allianceid=1393,91k active personnel,52 ships,Persian Gulf War surplus,5 factories,Elite,last online 4 hours ago,rankings.php?subregion=con,BAMF,$15924 million,alliancestats.php?allianceid=1393,Southern Cone,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=con,41481 km 2,http://blocgame.com/stats.php?id=40443,1 Tons,,
Biji Kurdistan,Myron2point0,http://blocgame.com/alliancestats.php?allianceid=1580,227k active personnel,41 ships,Persian Gulf War surplus,10 factories,Standard,last online 2 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$15915 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,64978 km 2,http://blocgame.com/stats.php?id=52906,,2431 Mbbl,
Deponia,PYZILEND,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,28 ships,Persian Gulf War surplus,12 factories,Good,last online 10 hours ago,rankings.php?subregion=chi,BAMF,$15760 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,41102 km 2,http://blocgame.com/stats.php?id=54760,,345 Mbbl,
