country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,418k active personnel,72 ships,Advanced,19 factories,Elite,last online 4 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$31520 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45372 km 2,http://blocgame.com/stats.php?id=51354,,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,295k active personnel,51 ships,Advanced,27 factories,Good,last online 4 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$29141 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,,2 Tons,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,439k active personnel,80 ships,Advanced,19 factories,Good,last online 11 hours ago,rankings.php?subregion=mes,Wreckage brothers,$27204 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,957 Mbbl,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,484k active personnel,51 ships,Persian Gulf War surplus,19 factories,Poor,last online 12 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$26899 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,66k active personnel,49 ships,Persian Gulf War surplus,12 factories,Elite,last online 48 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$27167 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,27075 km 2,http://blocgame.com/stats.php?id=40233,,,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,214k active personnel,50 ships,Advanced,18 factories,Good,online now,rankings.php?subregion=sea,Brotherhood of Zion,$26627 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,131k active personnel,36 ships,Almost Modern,16 factories,Good,last online 1 hours ago,rankings.php?subregion=mex,BAMF,$26193 million,alliancestats.php?allianceid=1393,Mesoamerica,,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,299k active personnel,51 ships,Advanced,17 factories,Good,last online 22 hours ago,rankings.php?subregion=per,SPQR,$25810 million,alliancestats.php?allianceid=1835,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,302k active personnel,53 ships,Advanced,23 factories,Good,last online 3 hours ago,rankings.php?subregion=pac,BAMF,$25788 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,,5%
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,158k active personnel,51 ships,Advanced,15 factories,Elite,last online 1 hours ago,rankings.php?subregion=saf,BAMF,$25607 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,,,
