country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,179k active personnel,61 ships,Advanced,Gandhi-like,19 factories,Elite,last online 1 hours ago,rankings.php?subregion=saf,BAMF,$34428 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,52883 km 2,http://blocgame.com/stats.php?id=53011,,,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,464k active personnel,79 ships,Advanced,Gandhi-like,21 factories,Elite,last online 10 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$32672 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45891 km 2,http://blocgame.com/stats.php?id=51354,1 Tons,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,295k active personnel,51 ships,Advanced,Gandhi-like,27 factories,Good,last online 9 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$32669 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,,9406 Mbbl,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,160k active personnel,51 ships,Advanced,Gandhi-like,19 factories,Good,last online 14 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$29946 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51408 km 2,http://blocgame.com/stats.php?id=53068,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,150k active personnel,44 ships,Almost Modern,Gandhi-like,18 factories,Elite,last online 20 hours ago,rankings.php?subregion=mex,BAMF,$29481 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,312k active personnel,65 ships,Advanced,Gandhi-like,24 factories,Elite,online now,rankings.php?subregion=pac,BAMF,$28860 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,,5%
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,467k active personnel,94 ships,Advanced,Gandhi-like,19 factories,Good,last online 16 hours ago,rankings.php?subregion=mes,Wreckage brothers,$28544 million,alliancestats.php?allianceid=1599,Mesopotamia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,,,
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,178k active personnel,11 ships,Advanced,Gandhi-like,18 factories,Good,last online 4 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27794 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,354k active personnel,33 ships,Advanced,Gandhi-like,17 factories,Elite,last online 3 hours ago,rankings.php?subregion=per,SPQR,$27759 million,alliancestats.php?allianceid=1835,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,,1988 Mbbl,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,186k active personnel,70 ships,Persian Gulf War surplus,Gandhi-like,15 factories,Elite,last online 8 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27376 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,279k active personnel,71 ships,Advanced,Gandhi-like,14 factories,Good,last online 5 hours ago,rankings.php?subregion=car,The Federal Colonies,$26755 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,,379 Mbbl,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,275k active personnel,59 ships,Advanced,Good,16 factories,Elite,online now,rankings.php?subregion=egy,BAMF,$26262 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,44421 km 2,http://blocgame.com/stats.php?id=49204,,,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,699k active personnel,84 ships,Advanced,Gandhi-like,40 factories,Elite,last online 5 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$26222 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,135519 km 2,http://blocgame.com/stats.php?id=47945,4 Tons,328 Mbbl,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,45 ships,Advanced,Gandhi-like,19 factories,Poor,last online 6 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$25308 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,3 Tons,,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,7k active personnel,37 ships,Almost Modern,Good,9 factories,Standard,last online 147 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$24761 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,21675 km 2,http://blocgame.com/stats.php?id=40233,,,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,27 ships,Advanced,Gandhi-like,12 factories,Elite,last online 4 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$23804 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,289k active personnel,58 ships,Advanced,Gandhi-like,15 factories,Good,last online 2 hours ago,rankings.php?subregion=ind,The Federal Colonies,$23197 million,alliancestats.php?allianceid=1401,East Indies,,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,,,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,319k active personnel,85 ships,Persian Gulf War surplus,Gandhi-like,15 factories,Elite,last online 13 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$23187 million,alliancestats.php?allianceid=1568,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,,,15%
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,322k active personnel,62 ships,Advanced,Isolated,19 factories,Good,online now,rankings.php?subregion=gra,Brotherhood of Zion,$22888 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,,
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,137k active personnel,45 ships,Persian Gulf War surplus,Gandhi-like,8 factories,Elite,last online 6 hours ago,rankings.php?subregion=car,The Federal Colonies,$22788 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23712 km 2,http://blocgame.com/stats.php?id=45853,,,
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,269k active personnel,44 ships,Advanced,Gandhi-like,12 factories,Elite,last online 8 hours ago,rankings.php?subregion=mex,The Federal Colonies,$22785 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,,156 Mbbl,45%
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,519k active personnel,13 ships,Persian Gulf War surplus,Gandhi-like,24 factories,Standard,last online 5 hours ago,rankings.php?subregion=chi,BAMF,$22343 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,,427 Mbbl,
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,14 ships,Persian Gulf War surplus,Gandhi-like,20 factories,Good,last online 7 hours ago,rankings.php?subregion=chi,BAMF,$22331 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,,,
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,100k active personnel,22 ships,Advanced,Gandhi-like,8 factories,Good,last online 11 hours ago,rankings.php?subregion=pac,The Federal Colonies,$21991 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,,,5%
Fapman,Fapman,http://blocgame.com/alliancestats.php?allianceid=1393,247k active personnel,55 ships,Advanced,Questionable,21 factories,Elite,last online 6 hours ago,rankings.php?subregion=ara,BAMF,$21934 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,101239 km 2,http://blocgame.com/stats.php?id=53748,5 Tons,,
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,239k active personnel,51 ships,Almost Modern,Gandhi-like,10 factories,Elite,last online 1 hours ago,rankings.php?subregion=ama,The High Council,$21496 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,1 Tons,,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,405k active personnel,51 ships,Advanced,Gandhi-like,18 factories,Standard,last online 17 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$21116 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,,,
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,54k active personnel,0 ships,Advanced,Nice,13 factories,Elite,online now,rankings.php?subregion=car,The Federal Colonies,$21063 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45065 km 2,http://blocgame.com/stats.php?id=44573,,294 Mbbl,
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,278k active personnel,51 ships,Advanced,Gandhi-like,14 factories,Elite,last online 9 hours ago,rankings.php?subregion=pac,BAMF,$20632 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,,,
