country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,oil_reserves,region/_text,uranium,manpower,airforce,region,territory,pageUrl
Truinibad,Truin Andrest,http://blocgame.com/alliancestats.php?allianceid=1393,485k active personnel,100 ships,Advanced,31 factories,Elite,last online 6 hours ago,rankings.php?subregion=ara,BAMF,$29885 million,alliancestats.php?allianceid=1393,3506 Mbbl,Arabia,2 Tons,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,161651 km 2,http://blocgame.com/stats.php?id=52331
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,339k active personnel,71 ships,Persian Gulf War surplus,16 factories,Elite,last online 6 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$28831 million,alliancestats.php?allianceid=1568,,China,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44959 km 2,http://blocgame.com/stats.php?id=51354
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,312k active personnel,51 ships,Persian Gulf War surplus,18 factories,Poor,last online 2 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$26986 million,alliancestats.php?allianceid=1568,,Southern Cone,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,44k active personnel,42 ships,Persian Gulf War surplus,15 factories,Elite,last online 10 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$27597 million,alliancestats.php?allianceid=1568,,Congo,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,33483 km 2,http://blocgame.com/stats.php?id=40233
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,178k active personnel,50 ships,Persian Gulf War surplus,16 factories,Good,last online 20 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$21970 million,alliancestats.php?allianceid=1568,,Indochina,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1393,203k active personnel,51 ships,Persian Gulf War surplus,17 factories,Good,last online 12 hours ago,rankings.php?subregion=per,BAMF,$21844 million,alliancestats.php?allianceid=1393,2292 Mbbl,Persia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,425k active personnel,51 ships,Persian Gulf War surplus,18 factories,Elite,last online 3 hours ago,rankings.php?subregion=ama,BAMF,$21390 million,alliancestats.php?allianceid=1393,,Amazonia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,359k active personnel,49 ships,Persian Gulf War surplus,15 factories,Elite,last online 5 hours ago,rankings.php?subregion=mes,Wreckage brothers,$21370 million,alliancestats.php?allianceid=1599,,Mesopotamia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,85275 km 2,http://blocgame.com/stats.php?id=52852
Ekodebota,tfwqtp2tlgf|;3,http://blocgame.com/alliancestats.php?allianceid=1599,252k active personnel,71 ships,Advanced,18 factories,Standard,last online 3 hours ago,rankings.php?subregion=atl,Wreckage brothers,$20331 million,alliancestats.php?allianceid=1599,344 Mbbl,Atlas,2 Tons,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=atl,91861 km 2,http://blocgame.com/stats.php?id=53422
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,299k active personnel,52 ships,Persian Gulf War surplus,20 factories,Elite,last online 23 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$21408 million,alliancestats.php?allianceid=1568,7359 Mbbl,Egypt,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,76898 km 2,http://blocgame.com/stats.php?id=49868
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,219k active personnel,48 ships,Advanced,16 factories,Good,last online 27 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$21259 million,alliancestats.php?allianceid=1568,,Gran Colombia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662
