country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,uranium,region,territory,pageUrl,oil_reserves,reactor
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,459k active personnel,77 ships,Advanced,Gandhi-like,21 factories,Elite,last online 16 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$32512 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,1 Tons,http://blocgame.com/rankings.php?subregion=chi,45891 km 2,http://blocgame.com/stats.php?id=51354,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,295k active personnel,51 ships,Advanced,Gandhi-like,27 factories,Good,last online 17 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$32277 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,9582 Mbbl,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,2k active personnel,37 ships,Almost Modern,Questionable,12 factories,Good,last online 93 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$29645 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=congo,26010 km 2,http://blocgame.com/stats.php?id=40233,,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,160k active personnel,51 ships,Advanced,Gandhi-like,19 factories,Good,last online 9 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$29570 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=sea,51408 km 2,http://blocgame.com/stats.php?id=53068,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,150k active personnel,44 ships,Almost Modern,Gandhi-like,18 factories,Elite,last online 20 hours ago,rankings.php?subregion=mex,BAMF,$29112 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,307k active personnel,64 ships,Advanced,Gandhi-like,24 factories,Good,last online 3 hours ago,rankings.php?subregion=pac,BAMF,$28512 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,5%
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,447k active personnel,93 ships,Advanced,Gandhi-like,19 factories,Good,last online 12 hours ago,rankings.php?subregion=mes,Wreckage brothers,$28445 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,,
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,163k active personnel,58 ships,Advanced,Gandhi-like,16 factories,Elite,online now,rankings.php?subregion=saf,BAMF,$28172 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=saf,48548 km 2,http://blocgame.com/stats.php?id=53011,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,350k active personnel,45 ships,Advanced,Gandhi-like,17 factories,Elite,last online 34 hours ago,rankings.php?subregion=per,SPQR,$27565 million,alliancestats.php?allianceid=1835,Persia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,2228 Mbbl,
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,178k active personnel,11 ships,Advanced,Gandhi-like,17 factories,Elite,last online 7 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27403 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,186k active personnel,70 ships,Persian Gulf War surplus,Gandhi-like,15 factories,Elite,last online 55 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27068 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,279k active personnel,71 ships,Persian Gulf War surplus,Gandhi-like,14 factories,Good,last online 9 hours ago,rankings.php?subregion=car,The Federal Colonies,$26523 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,383 Mbbl,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,270k active personnel,56 ships,Advanced,Gandhi-like,16 factories,Standard,last online 42 hours ago,rankings.php?subregion=egy,BAMF,$25990 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=egy,44421 km 2,http://blocgame.com/stats.php?id=49204,,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,699k active personnel,84 ships,Advanced,Gandhi-like,40 factories,Elite,last online 3 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$25906 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,4 Tons,http://blocgame.com/rankings.php?subregion=chi,135519 km 2,http://blocgame.com/stats.php?id=47945,348 Mbbl,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,45 ships,Advanced,Gandhi-like,19 factories,Poor,last online 64 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$25002 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,3 Tons,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,27 ships,Persian Gulf War surplus,Gandhi-like,12 factories,Elite,last online 4 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$23588 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,339k active personnel,85 ships,Persian Gulf War surplus,Gandhi-like,15 factories,Elite,last online 7 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$23407 million,alliancestats.php?allianceid=1568,West Africa,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,,15%
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,416k active personnel,61 ships,Advanced,Nice,19 factories,Good,last online 5 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$23170 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,259k active personnel,57 ships,Advanced,Gandhi-like,15 factories,Good,online now,rankings.php?subregion=ind,The Federal Colonies,$22967 million,alliancestats.php?allianceid=1401,East Indies,,Very Powerful,,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,,
