leader_link/_source,leader_link,leader_link/_text,pageUrl
stats.php?id=61626,http://blocgame.com/stats.php?id=61626,Tamarlania,http://blocgame.com/rankings.php?page=1
stats.php?id=389,http://blocgame.com/stats.php?id=389,Tuonela,http://blocgame.com/rankings.php?page=1
stats.php?id=63909,http://blocgame.com/stats.php?id=63909,Platypus Island,http://blocgame.com/rankings.php?page=1
stats.php?id=62905,http://blocgame.com/stats.php?id=62905,Morovistan,http://blocgame.com/rankings.php?page=1
stats.php?id=1421,http://blocgame.com/stats.php?id=1421,Rome Reloaded,http://blocgame.com/rankings.php?page=1
stats.php?id=54426,http://blocgame.com/stats.php?id=54426,Russophia,http://blocgame.com/rankings.php?page=1
stats.php?id=63083,http://blocgame.com/stats.php?id=63083,Femtonesia,http://blocgame.com/rankings.php?page=1
stats.php?id=52906,http://blocgame.com/stats.php?id=52906,Biji Kurdistan,http://blocgame.com/rankings.php?page=1
stats.php?id=63128,http://blocgame.com/stats.php?id=63128,South Uganda,http://blocgame.com/rankings.php?page=1
stats.php?id=60485,http://blocgame.com/stats.php?id=60485,bakhang,http://blocgame.com/rankings.php?page=1
stats.php?id=41551,http://blocgame.com/stats.php?id=41551,Asians,http://blocgame.com/rankings.php?page=1
stats.php?id=56710,http://blocgame.com/stats.php?id=56710,Conferan,http://blocgame.com/rankings.php?page=1
stats.php?id=54304,http://blocgame.com/stats.php?id=54304,Jebawka,http://blocgame.com/rankings.php?page=1
stats.php?id=63053,http://blocgame.com/stats.php?id=63053,German Empire,http://blocgame.com/rankings.php?page=1
stats.php?id=62827,http://blocgame.com/stats.php?id=62827,temasik,http://blocgame.com/rankings.php?page=1
stats.php?id=62784,http://blocgame.com/stats.php?id=62784,Cyleia,http://blocgame.com/rankings.php?page=2
stats.php?id=63155,http://blocgame.com/stats.php?id=63155,Kritch,http://blocgame.com/rankings.php?page=2
stats.php?id=59787,http://blocgame.com/stats.php?id=59787,Lorigan,http://blocgame.com/rankings.php?page=2
stats.php?id=63775,http://blocgame.com/stats.php?id=63775,Mzab,http://blocgame.com/rankings.php?page=2
stats.php?id=53068,http://blocgame.com/stats.php?id=53068,Morjei,http://blocgame.com/rankings.php?page=2
stats.php?id=43375,http://blocgame.com/stats.php?id=43375,Cirno,http://blocgame.com/rankings.php?page=2
stats.php?id=62972,http://blocgame.com/stats.php?id=62972,VinnyNation,http://blocgame.com/rankings.php?page=2
stats.php?id=58149,http://blocgame.com/stats.php?id=58149,Texastan,http://blocgame.com/rankings.php?page=2
stats.php?id=63105,http://blocgame.com/stats.php?id=63105,Newsoka,http://blocgame.com/rankings.php?page=2
stats.php?id=61919,http://blocgame.com/stats.php?id=61919,Gobi,http://blocgame.com/rankings.php?page=2
stats.php?id=53011,http://blocgame.com/stats.php?id=53011,LOCAI,http://blocgame.com/rankings.php?page=2
stats.php?id=58369,http://blocgame.com/stats.php?id=58369,Markovia,http://blocgame.com/rankings.php?page=2
stats.php?id=62965,http://blocgame.com/stats.php?id=62965,Derse Moon,http://blocgame.com/rankings.php?page=2
stats.php?id=47207,http://blocgame.com/stats.php?id=47207,Uzbekistanstan,http://blocgame.com/rankings.php?page=2
stats.php?id=41268,http://blocgame.com/stats.php?id=41268,Shambala,http://blocgame.com/rankings.php?page=2
stats.php?id=61926,http://blocgame.com/stats.php?id=61926,Batu putih,http://blocgame.com/rankings.php?page=3
stats.php?id=59775,http://blocgame.com/stats.php?id=59775,al-Bahrayn,http://blocgame.com/rankings.php?page=3
stats.php?id=63060,http://blocgame.com/stats.php?id=63060,Ivalice,http://blocgame.com/rankings.php?page=3
stats.php?id=49701,http://blocgame.com/stats.php?id=49701,The NLR,http://blocgame.com/rankings.php?page=3
stats.php?id=62912,http://blocgame.com/stats.php?id=62912,mani,http://blocgame.com/rankings.php?page=3
stats.php?id=61998,http://blocgame.com/stats.php?id=61998,ZAMENTA,http://blocgame.com/rankings.php?page=3
