country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl
Ansari,Abad,The Khilafah,57k active personnel,0 ships,First World War surplus,Good,2 factories,Good,last online 5 hours ago,10 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$366 million,50 Mbbl,Untapped,Small,Congo,United States,26494 km 2,http://www.blocgame.com/stats.php?id=50625
Agonda,Agonda,The Federal Colonies,59k active personnel,0 ships,First World War surplus,Normal,2 factories,Standard,last online 5 hours ago,12 Hundred Tons per month,3 Mbbl per month,Central Planning,$406 million,127 Mbbl; 3 Mbbl,Untapped,Meagre,China,Soviet Union,26360 km 2,http://www.blocgame.com/stats.php?id=51268
Zerram,Bilgorin,The Order,44k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 5 hours ago,9 Hundred Tons per month,1 Mbbl per month,Central Planning,$367 million,397 Mbbl; 1 Mbbl,Untapped,None,Guinea,Soviet Union,29406 km 2,http://www.blocgame.com/stats.php?id=65344
Bombay,Bombay,Interpol,46k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 5 hours ago,9 Hundred Tons per month,4 Mbbl per month,Central Planning,$373 million,3026 Mbbl; 4 Mbbl,Untapped,Meagre,Arabia,Soviet Union,25550 km 2,http://www.blocgame.com/stats.php?id=51989
Grettistan,Grett,Brotherhood of Nod,39k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 5 hours ago,12 Hundred Tons per month,3 Mbbl per month,Central Planning,$442 million,187 Mbbl; 3 Mbbl,Untapped,Meagre,Southern Africa,Soviet Union,28738 km 2,http://www.blocgame.com/stats.php?id=51214
Wussan,Handri,SPQR,41k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 5 hours ago,10 Hundred Tons per month,6 Mbbl per month,Central Planning,$412 million,1004 Mbbl; 6 Mbbl,Untapped,None,Persia,Soviet Union,26868 km 2,http://www.blocgame.com/stats.php?id=50197
Magahion,Hira,Socialist Arab Union,37k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 5 hours ago,10 Hundred Tons per month,1 Mbbl per month,Central Planning,$378 million,52 Mbbl; 1 Mbbl,Untapped,None,East Africa,Soviet Union,26567 km 2,http://www.blocgame.com/stats.php?id=65308
Channary,Kardal,The Order,39k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 5 hours ago,12 Hundred Tons per month,2 Mbbl per month,Free Market,$464 million,95 Mbbl; 2 Mbbl,Untapped,Meagre,Caribbean,United States,28187 km 2,http://www.blocgame.com/stats.php?id=50479
Opandos,KllK,The Order,55k active personnel,0 ships,First World War surplus,Good,2 factories,Standard,last online 5 hours ago,10 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$389 million,156 Mbbl; 3 Mbbl,Untapped,None,Indochina,Soviet Union,34057 km 2,http://www.blocgame.com/stats.php?id=50208
Verbona,Omar,Interpol,39k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 5 hours ago,9 Hundred Tons per month,3 Mbbl per month,Central Planning,$316 million,2558 Mbbl; 3 Mbbl,Untapped,Meagre,Egypt,Soviet Union,23447 km 2,http://www.blocgame.com/stats.php?id=65345
Bowen,Rice,PIRATES,49k active personnel,0 ships,First World War surplus,Normal,1 factory,Good,last online 4 hours ago,10 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$372 million,3874 Mbbl; 6 Mbbl,Untapped,None,Mesopotamia,Neutral,25476 km 2,http://www.blocgame.com/stats.php?id=50453
Rupina,Rupina,The Federal Colonies,39k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 5 hours ago,10 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$425 million,416 Mbbl; 2 Mbbl,Untapped,None,Gran Colombia,United States,28976 km 2,http://www.blocgame.com/stats.php?id=50287
Tiad,Sizzle,Brotherhood of Nod,49k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 4 hours ago,11 Hundred Tons per month,6 Mbbl per month,Central Planning,$483 million,2605 Mbbl; 6 Mbbl,Untapped,None,Atlas,Soviet Union,33467 km 2,http://www.blocgame.com/stats.php?id=50332
Xelegor,Steph,The Order,39k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 4 hours ago,12 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$350 million,64 Mbbl; 1 Mbbl,Untapped,Meagre,Amazonia,United States,27444 km 2,http://www.blocgame.com/stats.php?id=65347
Pegrram,Unhold,The Order,38k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 4 hours ago,10 Hundred Tons per month,2 Mbbl per month,Central Planning,$366 million,632 Mbbl; 2 Mbbl,Untapped,None,Guinea,Soviet Union,20296 km 2,http://www.blocgame.com/stats.php?id=65383
Jibid,Varramor,The Order,37k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 4 hours ago,10 Hundred Tons per month,1 Mbbl per month,Central Planning,$342 million,224 Mbbl; 1 Mbbl,Untapped,None,Indochina,Soviet Union,23941 km 2,http://www.blocgame.com/stats.php?id=65373
grapondiu,yamado,The Order,38k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 4 hours ago,7 Hundred Tons per month,1 Mbbl per month,Free Market,$364 million,1444 Mbbl; 1 Mbbl,Untapped,None,West Africa,Soviet Union,25905 km 2,http://www.blocgame.com/stats.php?id=65382
