country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tuonela,Beelzebub,The Order,53k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,14 Hundred Tons per month,2 Mbbl per month,Central Planning,$852 million,328 Mbbl; 2 Mbbl,Untapped,Mediocre,The Subcontinent,Soviet Union,37195 km 2,http://blocgame.com/stats.php?id=389,
Derse Moon,Jack Noir,The Order,58k active personnel,6 ships,First World War surplus,Normal,5 factories,Elite,online now,40 Hundred Tons per month,40 Mbbl per month,Free Market,$833 million,20594 Mbbl,,Very Powerful,Egypt,United States,55590 km 2,http://blocgame.com/stats.php?id=62965,
Tamarlania,Vagrant,The High Council,39k active personnel,1 ships,First World War surplus,Nice,3 factories,Elite,last online 17 hours ago,3 Hundred Tons per month,38 Mbbl per month,Free Market,$817 million,4971 Mbbl,Untapped,Somewhat Large,Mesopotamia,United States,33442 km 2,http://blocgame.com/stats.php?id=61626,1 Tons
Morovistan,Gustave Bergher,The High Council,33k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,online now,11 Hundred Tons per month,11 Mbbl per month,Mixed Economy,$811 million,3785 Mbbl; 11 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
Memiaya,MrRoth,Che Guevara League,38k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,online now,14 Hundred Tons per month,2 Mbbl per month,Central Planning,$784 million,577 Mbbl; 2 Mbbl,Untapped,Large,Caribbean,Soviet Union,45699 km 2,http://blocgame.com/stats.php?id=62980,
Lyranistan,Lyranistan,Brotherhood of Nod,38k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,17 Hundred Tons per month,12 Mbbl per month,Central Planning,$757 million,2809 Mbbl; 12 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,39228 km 2,http://blocgame.com/stats.php?id=56860,
Asians,bigyihsuan,The High Council,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Poor,last online 66 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$732 million,467 Mbbl; 2 Mbbl,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=41551,
Uzbekistanstan,Shaikh Zayer,The Order,25k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,14 Hundred Tons per month,3 Mbbl per month,Free Market,$729 million,560 Mbbl,Plentiful,Mediocre,Congo,United States,36651 km 2,http://blocgame.com/stats.php?id=47207,
Russophia,Mikhail Putin,SPQR,8k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Elite,last online 3 hours ago,2 Hundred Tons per month,4 Mbbl per month,Central Planning,$701 million,4 Mbbl,Untapped,None,Arabia,Soviet Union,13890 km 2,http://blocgame.com/stats.php?id=54426,
German Empire,Frederick the Great,SPQR,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 15 hours ago,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$692 million,4483 Mbbl,Untapped,Somewhat Large,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,
Platypus Island,Mark0Polo,SPQR,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,9 Hundred Tons per month,6 Mbbl per month,Central Planning,$692 million,841 Mbbl; 6 Mbbl,Untapped,Small,Indochina,Soviet Union,23816 km 2,http://blocgame.com/stats.php?id=63909,
Mzab,Cuma Thurman,Brotherhood of Zion,47k active personnel,0 ships,First World War surplus,Isolated,1 factory,Elite,online now,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$686 million,4626 Mbbl; 5 Mbbl,Untapped,Mediocre,Atlas,Soviet Union,34097 km 2,http://blocgame.com/stats.php?id=63775,
South Uganda,Dr. Idi Amin,Brotherhood of Zion,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,23 Hundred Tons per month,3 Mbbl per month,Central Planning,$684 million,452 Mbbl; 3 Mbbl,Untapped,Somewhat Large,Southern Africa,Soviet Union,34970 km 2,http://blocgame.com/stats.php?id=63128,
al-Bahrayn,dbdb,The Order,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 2 hours ago,6 Hundred Tons per month,7 Mbbl per month,Central Planning,$683 million,983 Mbbl; 7 Mbbl,Untapped,Mediocre,Mesopotamia,Soviet Union,30107 km 2,http://blocgame.com/stats.php?id=59775,
Shambala,Feranon,Brotherhood of Nod,20k active personnel,0 ships,Finest of the 19th century,Angelic,1 factory,Elite,last online 4 hours ago,6 Hundred Tons per month,3 Mbbl per month,Central Planning,$681 million,303 Mbbl; 3 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,31241 km 2,http://blocgame.com/stats.php?id=41268,
Khuzestan,Georgy Zhukov,The Federal Colonies,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$673 million,2636 Mbbl; 5 Mbbl,Untapped,Mediocre,Persia,Soviet Union,36081 km 2,http://blocgame.com/stats.php?id=48914,
Eisen,Balthazaar,The Order,20k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,online now,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$672 million,393 Mbbl; 5 Mbbl,Untapped,Large,China,Soviet Union,42762 km 2,http://blocgame.com/stats.php?id=53566,
Khebab,Al Khebab,Al-Qassam Brigades,7k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 117 hours ago,6 Hundred Tons per month,6 Mbbl per month,Central Planning,$669 million,2220 Mbbl; 6 Mbbl,Untapped,Meagre,Arabia,Soviet Union,33462 km 2,http://blocgame.com/stats.php?id=63695,
Darkstone,Trakel,The High Council,61k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 13 hours ago,18 Hundred Tons per month,11 Mbbl per month,Central Planning,$667 million,5248 Mbbl; 11 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,35666 km 2,http://blocgame.com/stats.php?id=57176,
Ambon,Chalkface,The Order,54k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,13 Hundred Tons per month,4 Mbbl per month,Central Planning,$666 million,450 Mbbl; 4 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,30188 km 2,http://blocgame.com/stats.php?id=42744,
Morjei,FlairWoW,Brotherhood of Zion,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,11 Hundred Tons per month,2 Mbbl per month,Central Planning,$664 million,115 Mbbl; 2 Mbbl,Untapped,Meagre,Indochina,Soviet Union,37661 km 2,http://blocgame.com/stats.php?id=53068,
Kyranistan,Michael Hussain,Brotherhood of Nod,34k active personnel,0 ships,First World War surplus,Pariah,None,Good,online now,7 Hundred Tons per month,6 Mbbl per month,Central Planning,$662 million,8739 Mbbl; 6 Mbbl,Untapped,Mediocre,Persia,Soviet Union,31565 km 2,http://blocgame.com/stats.php?id=61263,
Gulam,Galak,PIRATES,57k active personnel,0 ships,First World War surplus,Questionable,1 factory,Good,last online 2 hours ago,5 Hundred Tons per month,5 Mbbl per month,Central Planning,$657 million,561 Mbbl; 5 Mbbl,,Mediocre,Pacific Rim,Soviet Union,34253 km 2,http://blocgame.com/stats.php?id=63645,
Southern Africa,TheMaster_ZA,The Order,37k active personnel,0 ships,First World War surplus,Pariah,1 factory,Elite,online now,9 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$656 million,258 Mbbl,Untapped,Meagre,Southern Africa,Soviet Union,38642 km 2,http://blocgame.com/stats.php?id=48410,
Asiana,El_Xanatos,The High Council,17k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 1 hours ago,11 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$654 million,34 Mbbl; 2 Mbbl,Untapped,Small,Indochina,United States,36500 km 2,http://blocgame.com/stats.php?id=62221,
Zuyazayuza,Zuyazayuza,Brotherhood of Zion,76k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 4 hours ago,15 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$647 million,326 Mbbl,Untapped,Mediocre,Caribbean,United States,34902 km 2,http://blocgame.com/stats.php?id=62470,
Rome Reloaded,Tiberius Ceaser,SPQR,7k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 7 hours ago,7 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$646 million,2663 Mbbl,Untapped,None,Mesopotamia,Soviet Union,16085 km 2,http://blocgame.com/stats.php?id=1421,
Pooland,kurwa,Brotherhood of Zion,35k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 8 hours ago,11 Hundred Tons per month,8 Mbbl per month,Central Planning,$646 million,1993 Mbbl; 8 Mbbl,Untapped,Mediocre,Atlas,Soviet Union,36325 km 2,http://blocgame.com/stats.php?id=49295,
Valtania,Kelvin D. Makumbi,Che Guevara League,56k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,online now,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$645 million,300 Mbbl; 5 Mbbl,Untapped,Meagre,Mesoamerica,Soviet Union,27676 km 2,http://blocgame.com/stats.php?id=62525,
Newsoka,E Mark,The High Council,18k active personnel,0 ships,First World War surplus,Angelic,1 factory,Poor,last online 12 hours ago,11 Hundred Tons per month,7 Mbbl per month,Mixed Economy,$640 million,401 Mbbl,Untapped,Meagre,Indochina,United States,23122 km 2,http://blocgame.com/stats.php?id=63105,
Markovia,RDM HC,The Federal Colonies,48k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,8 Hundred Tons per month,4 Mbbl per month,Free Market,$638 million,483 Mbbl; 4 Mbbl,Untapped,Mediocre,Caribbean,United States,31236 km 2,http://blocgame.com/stats.php?id=58369,
Kritch,Zorn,Brotherhood of Nod,40k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,6 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$635 million,533 Mbbl; 1 Mbbl,Untapped,Small,The Subcontinent,Soviet Union,29172 km 2,http://blocgame.com/stats.php?id=63155,
Yummy Foods,iiruka,Interpol,59k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,25 Hundred Tons per month,1 Mbbl per month,Free Market,$634 million,58 Mbbl,Untapped,Mediocre,Pacific Rim,United States,32861 km 2,http://blocgame.com/stats.php?id=54376,
Deklain,Otis,The High Council,30k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 2 hours ago,8 Hundred Tons per month,2 Mbbl per month,Central Planning,$631 million,188 Mbbl; 2 Mbbl,Untapped,Small,Pacific Rim,Soviet Union,33853 km 2,http://blocgame.com/stats.php?id=57066,
Jebawka,Shetay,The Order,53k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,8 Hundred Tons per month,9 Mbbl per month,Free Market,$629 million,2113 Mbbl,Plentiful,Meagre,Arabia,United States,20165 km 2,http://blocgame.com/stats.php?id=54304,
Smyrno,Mallow,The Order,39k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,online now,3 Hundred Tons per month,6 Mbbl per month,Central Planning,$627 million,4789 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,34560 km 2,http://blocgame.com/stats.php?id=62960,
Femtonesia,1101,Comintern,37k active personnel,0 ships,Finest of the 19th century,Nice,None,Elite,online now,14 Hundred Tons per month,2 Mbbl per month,Central Planning,$627 million,141 Mbbl; 2 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,31837 km 2,http://blocgame.com/stats.php?id=63083,
Texastan,Rebel Lord,Interpol,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,16 Hundred Tons per month,17 Mbbl per month,Central Planning,$626 million,3245 Mbbl; 17 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,36262 km 2,http://blocgame.com/stats.php?id=58149,
Byzantium,The Wolf,The United Nations,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 8 hours ago,13 Hundred Tons per month,7 Mbbl per month,Free Market,$625 million,5174 Mbbl,Untapped,Mediocre,Mesopotamia,United States,33379 km 2,http://blocgame.com/stats.php?id=41125,
Mesopotamia,Arcturus,The Order,39k active personnel,0 ships,First World War surplus,Questionable,1 factory,Good,last online 5 hours ago,6 Hundred Tons per month,6 Mbbl per month,Free Market,$625 million,1784 Mbbl,Untapped,Small,Mesopotamia,United States,33329 km 2,http://blocgame.com/stats.php?id=42045,
Kek Slovakia,Fidel Kekstro,The Order,43k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$625 million,346 Mbbl; 5 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,34330 km 2,http://blocgame.com/stats.php?id=63462,
Jemut,iwaniman/Ferozz,PIRATES,74k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 13 hours ago,9 Hundred Tons per month,9 Mbbl per month,Central Planning,$622 million,356 Mbbl; 9 Mbbl,Untapped,Mediocre,East Indies,Soviet Union,33776 km 2,http://blocgame.com/stats.php?id=61811,
Feffiopia,Serloks,Divine League,13k active personnel,0 ships,Finest of the 19th century,Nice,1 factory,Elite,last online 1 hours ago,6 Hundred Tons per month,3 Mbbl per month,Central Planning,$621 million,389 Mbbl,Plentiful,None,The Subcontinent,Soviet Union,30851 km 2,http://blocgame.com/stats.php?id=46505,
Utopiastan,SilmAlpha,The High Council,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 1 hours ago,21 Hundred Tons per month,5 Mbbl per month,Central Planning,$620 million,992 Mbbl; 5 Mbbl,Untapped,Small,Guinea,Soviet Union,35843 km 2,http://blocgame.com/stats.php?id=56876,
Wafflonia,Stellarwaffle,SPQR,58k active personnel,0 ships,First World War surplus,Normal,1 factory,Good,last online 22 hours ago,9 Hundred Tons per month,6 Mbbl per month,Central Planning,$617 million,3966 Mbbl; 6 Mbbl,Untapped,Small,Egypt,Soviet Union,30750 km 2,http://blocgame.com/stats.php?id=63064,
����������,������ �������,The High Council,39k active personnel,0 ships,First World War surplus,Good,1 factory,Good,online now,6 Hundred Tons per month,1 Mbbl per month,Central Planning,$616 million,48 Mbbl; 1 Mbbl,Untapped,Meagre,Gran Colombia,Soviet Union,33414 km 2,http://blocgame.com/stats.php?id=54626,
KaleCepo,sultan lee,The High Council,69k active personnel,1 ships,First World War surplus,Nice,2 factories,Good,online now,21 Hundred Tons per month,5 Mbbl per month,Free Market,$616 million,869 Mbbl,Untapped,Large,East Indies,United States,40695 km 2,http://blocgame.com/stats.php?id=60711,
Bendover,Mike Hawk,Farmington Brigade,26k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 25 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$609 million,235 Mbbl; 1 Mbbl,Untapped,Meagre,East Indies,Soviet Union,16172 km 2,http://blocgame.com/stats.php?id=62897,
Conferan,Cryptox,The High Council,73k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 4 hours ago,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$608 million,418 Mbbl,Untapped,Mediocre,East Indies,Soviet Union,34115 km 2,http://blocgame.com/stats.php?id=56710,
Vanan,Esler,The Order,54k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 9 hours ago,10 Hundred Tons per month,3 Mbbl per month,Central Planning,$608 million,322 Mbbl; 3 Mbbl,Untapped,Small,Congo,Soviet Union,33595 km 2,http://blocgame.com/stats.php?id=63339,
ZAMENTA,ShAh FAr HAn,The Order,38k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 1 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$607 million,384 Mbbl; 4 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,34092 km 2,http://blocgame.com/stats.php?id=61998,
The NLR,Darknight,Divine League,54k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,online now,25 Hundred Tons per month,2 Mbbl per month,Central Planning,$606 million,141 Mbbl; 2 Mbbl,Untapped,Mediocre,Congo,Soviet Union,36778 km 2,http://blocgame.com/stats.php?id=49701,
Cirno,jc99,The Federal Colonies,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 1 hours ago,25 Hundred Tons per month,2 Mbbl per month,Free Market,$605 million,298 Mbbl,Untapped,Small,Caribbean,United States,36077 km 2,http://blocgame.com/stats.php?id=43375,
Kukulala,Unkel,The High Council,32k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 10 hours ago,8 Hundred Tons per month,4 Mbbl per month,Free Market,$601 million,457 Mbbl,Untapped,Mediocre,Indochina,United States,33593 km 2,http://blocgame.com/stats.php?id=60796,1 Tons
Nova Scotia,aspqrz,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 177 hours ago,3 Hundred Tons per month,,Mixed Economy,$600 million,299 Mbbl,Untapped,None,Caribbean,United States,16335 km 2,http://blocgame.com/stats.php?id=47047,
Hitlerwasright,Louis C Cuck,The Order,39k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 5 hours ago,4 Hundred Tons per month,9 Mbbl per month,Free Market,$600 million,1585 Mbbl,,Mediocre,Arabia,United States,30157 km 2,http://blocgame.com/stats.php?id=59621,
Glubistan,Glub,SPQR,18k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,online now,10 Hundred Tons per month,7 Mbbl per month,Central Planning,$597 million,1739 Mbbl; 7 Mbbl,Untapped,None,Arabia,Neutral,22695 km 2,http://blocgame.com/stats.php?id=63027,
Whitey,Knee Grow,Brotherhood of Zion,35k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 2 hours ago,14 Hundred Tons per month,5 Mbbl per month,Free Market,$594 million,5389 Mbbl; 5 Mbbl,Untapped,Mediocre,Egypt,United States,29860 km 2,http://blocgame.com/stats.php?id=4816,
Turbanistan,eromer2,The Order,28k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,9 Hundred Tons per month,2 Mbbl per month,Central Planning,$593 million,515 Mbbl; 2 Mbbl,Untapped,Meagre,The Subcontinent,Soviet Union,30082 km 2,http://blocgame.com/stats.php?id=63007,
Argon,Argus,Interpol,42k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,online now,20 Hundred Tons per month,21 Mbbl per month,Central Planning,$592 million,2792 Mbbl; 21 Mbbl,Untapped,Small,Atlas,Soviet Union,36011 km 2,http://blocgame.com/stats.php?id=57323,
Syphirious,Doxal,Interpol,39k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,12 Hundred Tons per month,21 Mbbl per month,Central Planning,$591 million,3362 Mbbl; 21 Mbbl,Untapped,Meagre,Mesopotamia,Soviet Union,33688 km 2,http://blocgame.com/stats.php?id=59670,
Pahang,FairulNizam,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 163 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$591 million,3642 Mbbl,Untapped,None,Arabia,United States,16335 km 2,http://blocgame.com/stats.php?id=60874,
Parnasus,thesageape,Brotherhood of Nod,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 180 hours ago,2 Hundred Tons per month,4 Mbbl per month,Central Planning,$591 million,3000 Mbbl; 4 Mbbl,Untapped,None,Mesopotamia,Neutral,16500 km 2,http://blocgame.com/stats.php?id=62232,
Robots,stormbot28,Interpol,58k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 1 hours ago,6 Hundred Tons per month,,Free Market,$590 million,,Untapped,Meagre,Caribbean,United States,13613 km 2,http://blocgame.com/stats.php?id=40242,
Iraqistan,PerryGriggs,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 177 hours ago,2 Hundred Tons per month,,Free Market,$587 million,,Untapped,None,Mesopotamia,Neutral,16335 km 2,http://blocgame.com/stats.php?id=45007,
bakhang,cukobi,The Order,31k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 25 hours ago,9 Hundred Tons per month,4 Mbbl per month,Central Planning,$587 million,1049 Mbbl; 4 Mbbl,Untapped,Mediocre,Atlas,Soviet Union,30352 km 2,http://blocgame.com/stats.php?id=60485,
Violent Vegans,SnakeBombs,Interpol,42k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,online now,11 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$586 million,4766 Mbbl; 6 Mbbl,Untapped,Small,Atlas,Soviet Union,34236 km 2,http://blocgame.com/stats.php?id=48869,
Hajoki,Makao,The Khilafah,10k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 33 hours ago,0 Hundred Tons per month,9 Mbbl per month,Free Market,$584 million,1643 Mbbl,Untapped,None,Atlas,Soviet Union,11460 km 2,http://blocgame.com/stats.php?id=60093,
sandakania,Ryan Kentang,Brotherhood of Zion,36k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 1 hours ago,10 Hundred Tons per month,3 Mbbl per month,Free Market,$583 million,525 Mbbl,Untapped,Somewhat Large,East Indies,United States,34382 km 2,http://blocgame.com/stats.php?id=60600,
Arabic Union,Comrade Izy,Brotherhood of Zion,73k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,online now,2 Hundred Tons per month,10 Mbbl per month,Central Planning,$582 million,3912 Mbbl; 10 Mbbl,Plentiful,Meagre,Mesopotamia,Soviet Union,35790 km 2,http://blocgame.com/stats.php?id=59855,
Wladimiria,Estagon,Divine League,30k active personnel,0 ships,First World War surplus,Angelic,2 factories,Good,online now,3 Hundred Tons per month,4 Mbbl per month,Central Planning,$581 million,4235 Mbbl,Untapped,Mediocre,Mesopotamia,Soviet Union,31961 km 2,http://blocgame.com/stats.php?id=52318,
Ivalice,Nighthawk571,Interpol,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 5 hours ago,7 Hundred Tons per month,7 Mbbl per month,Central Planning,$580 million,1938 Mbbl; 7 Mbbl,Untapped,Meagre,Arabia,Soviet Union,31315 km 2,http://blocgame.com/stats.php?id=63060,
Selja,Whalenator,Brotherhood of Nod,32k active personnel,0 ships,Finest of the 19th century,Angelic,None,Good,online now,3 Hundred Tons per month,7 Mbbl per month,Central Planning,$580 million,3681 Mbbl; 7 Mbbl,Untapped,Meagre,Persia,Neutral,31646 km 2,http://blocgame.com/stats.php?id=63172,
Junoma,VicReyes,Brotherhood of Zion,20k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 13 hours ago,6 Hundred Tons per month,1 Mbbl per month,Free Market,$579 million,418 Mbbl; 1 Mbbl,Untapped,Small,Southern Cone,United States,31241 km 2,http://blocgame.com/stats.php?id=40349,
Large Man,LargeMan,Al-Qassam Brigades,51k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,online now,6 Hundred Tons per month,5 Mbbl per month,Central Planning,$578 million,5923 Mbbl; 5 Mbbl,Untapped,Mediocre,Egypt,Soviet Union,35795 km 2,http://blocgame.com/stats.php?id=52836,
Ausmasia,Harzan15,,5k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 31 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$578 million,181 Mbbl; 2 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,13210 km 2,http://blocgame.com/stats.php?id=61817,
mani,mani,SPQR,10k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 8 hours ago,7 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$575 million,559 Mbbl,Untapped,Meagre,Persia,Neutral,13501 km 2,http://blocgame.com/stats.php?id=62912,
Savannah,Watersfall,The United Nations,53k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 1 hours ago,11 Hundred Tons per month,2 Mbbl per month,Central Planning,$574 million,69 Mbbl,Untapped,Small,Pacific Rim,Soviet Union,29545 km 2,http://blocgame.com/stats.php?id=49817,
Tyrantia,Malakal,The High Council,42k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,online now,19 Hundred Tons per month,10 Mbbl per month,Central Planning,$573 million,5127 Mbbl; 10 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,37335 km 2,http://blocgame.com/stats.php?id=40238,
temasik,lawrence,,14k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 7 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$573 million,2 Mbbl,Untapped,Small,East Indies,United States,16172 km 2,http://blocgame.com/stats.php?id=62827,
Arina,Hakir,Interpol,35k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 3 hours ago,6 Hundred Tons per month,1 Mbbl per month,Free Market,$572 million,207 Mbbl,Untapped,Mediocre,Amazonia,United States,30995 km 2,http://blocgame.com/stats.php?id=54480,
FreakTopia,Remington Steel,The Order,39k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 1 hours ago,10 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$571 million,820 Mbbl,Untapped,Small,The Subcontinent,United States,36066 km 2,http://blocgame.com/stats.php?id=45527,
Ballzinga,Carejo,The Order,38k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,10 Hundred Tons per month,5 Mbbl per month,Central Planning,$569 million,344 Mbbl,,Small,Guinea,Soviet Union,31004 km 2,http://blocgame.com/stats.php?id=63397,
Hatmistan,Pertti II,Al-Qassam Brigades,54k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,online now,5 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$567 million,2108 Mbbl; 3 Mbbl,Untapped,Mediocre,Atlas,Soviet Union,31263 km 2,http://blocgame.com/stats.php?id=46162,
Marova,Tidium,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 178 hours ago,2 Hundred Tons per month,,Free Market,$567 million,,Untapped,None,Arabia,Neutral,16335 km 2,http://blocgame.com/stats.php?id=47847,
FlySoGood,ycheez,Brotherhood of Zion,56k active personnel,0 ships,First World War surplus,Angelic,1 factory,Poor,last online 1 hours ago,11 Hundred Tons per month,11 Mbbl per month,Free Market,$566 million,1995 Mbbl,Untapped,Mediocre,Atlas,United States,32724 km 2,http://blocgame.com/stats.php?id=54541,
Enroth,Morglin,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 144 hours ago,2 Hundred Tons per month,,Central Planning,$565 million,,Untapped,None,West Africa,United States,13751 km 2,http://blocgame.com/stats.php?id=62546,
Europea,AugustReed,SPQR,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 103 hours ago,4 Hundred Tons per month,3 Mbbl per month,Free Market,$563 million,2047 Mbbl,Untapped,Meagre,Arabia,Neutral,13343 km 2,http://blocgame.com/stats.php?id=59848,
kurdastan,stax,Brotherhood of Zion,37k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 1 hours ago,4 Hundred Tons per month,7 Mbbl per month,Central Planning,$562 million,3311 Mbbl; 7 Mbbl,Untapped,Meagre,Persia,Soviet Union,32210 km 2,http://blocgame.com/stats.php?id=44907,
Swagvila,Saddam Hussgay,Divine League,40k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 4 hours ago,6 Hundred Tons per month,,Central Planning,$562 million,23 Mbbl,Plentiful,Mediocre,China,Soviet Union,27300 km 2,http://blocgame.com/stats.php?id=45990,
